iter	MultiClass
237	0.8305405745
238	0.8300071411
239	0.8293677773
240	0.8286977322
241	0.8281254922
242	0.8275137025
243	0.8270087253
244	0.8263745181
245	0.8257351447
246	0.8250340314
247	0.8245094737
248	0.8240090739
249	0.8233826804
250	0.8228053813
251	0.8223426962
252	0.821832363
253	0.8212611143
254	0.820739605
255	0.820246653
256	0.8198345533
257	0.8193053687
258	0.8187552005
259	0.8183209652
260	0.8178648202
261	0.8171920275
262	0.8166168545
263	0.8160713171
264	0.8154753654
265	0.8148331471
266	0.8142880493
267	0.8138233583
268	0.8133835747
269	0.8128043326
270	0.8122849005
271	0.8117741094
272	0.8113493369
273	0.8107505958
274	0.8102143587
275	0.8097599164
276	0.8092774204
277	0.8085407174
278	0.8081613734
279	0.8075953433
280	0.8071643329
281	0.8066327363
282	0.8062257516
283	0.805658558
284	0.8052136331
285	0.8047604548
286	0.8041966772
287	0.8038075649
288	0.8032822375
289	0.802865582
290	0.802356324
291	0.8018204801
292	0.8012116659
293	0.8008968514
294	0.8004888424
295	0.8001154113
296	0.7996660331
297	0.799240923
298	0.7987729863
299	0.7981061452
300	0.7976406333
301	0.7972500736
302	0.7969128917
303	0.7965816868
304	0.7958571647
305	0.7952908609
306	0.7948436239
307	0.7943588079
308	0.7939463185
309	0.7933663593
310	0.7928294937
311	0.7923766677
312	0.791984071
313	0.791622634
314	0.7910551826
315	0.7906386067
316	0.7903719608
317	0.7899310464
318	0.7895013393
319	0.7890378945
320	0.7886101987
321	0.7882764547
322	0.7878757009
323	0.7874274118
324	0.7869994556
325	0.786623635
326	0.7861968954
327	0.7858124976
328	0.7853682307
329	0.7848929759
330	0.7844798712
331	0.7840687649
332	0.7835529776
333	0.7831755561
334	0.7827572611
335	0.7823276933
336	0.7819460009
337	0.7815462419
338	0.781103442
339	0.7807128655
340	0.7803556425
341	0.7799816465
342	0.7795842023
343	0.7792748381
344	0.778875296
345	0.778502168
346	0.778190287
347	0.7778913892
348	0.7775348122
349	0.7771092128
350	0.7767702964
351	0.7763282286
352	0.7759689598
353	0.775631759
354	0.7753158885
355	0.774960762
356	0.7746806383
357	0.7742772418
358	0.7739090315
359	0.7734869503
360	0.7731289886
361	0.7727615803
362	0.772311054
363	0.771916533
364	0.7716074637
365	0.7712078848
366	0.7707780575
367	0.7703034853
368	0.7698902229
369	0.7694893704
370	0.7690656057
371	0.7687751276
372	0.768397232
373	0.7680768174
374	0.7675833145
375	0.7672046066
376	0.7667920888
377	0.7663653281
378	0.7658407026
379	0.7654848106
380	0.76513652
381	0.7647844275
382	0.7644034321
383	0.764084423
384	0.7637682046
385	0.7633727754
386	0.7629502938
387	0.7625156799
388	0.7621707458
389	0.7617901877
390	0.7614973207
391	0.7611334364
392	0.7607772503
393	0.7605278987
394	0.7602441963
395	0.7598447462
396	0.7595819835
397	0.7593350956
398	0.7590102172
399	0.7586659325
400	0.7583684298
401	0.7579830497
402	0.7576062363
403	0.7572290529
404	0.7570241694
405	0.7566964798
406	0.7564302877
407	0.756078309
408	0.7558630245
409	0.7555366598
410	0.755231025
411	0.7549250419
412	0.7545718219
413	0.7542642338
414	0.7539533715
415	0.7535985209
416	0.7532623881
417	0.7529374401
418	0.7525237552
419	0.752287456
420	0.7518750179
421	0.7515519786
422	0.7512868313
423	0.7509953427
424	0.7505508802
425	0.750277714
426	0.7499763628
427	0.7496129518
428	0.74919713
429	0.7489522669
430	0.7486373016
431	0.7483652653
432	0.7479981023
433	0.7477459914
434	0.747383849
435	0.747098133
436	0.7468455836
437	0.7464825515
438	0.7461896662
439	0.7458601354
440	0.745556635
441	0.7452190026
442	0.7449641303
443	0.7446708587
444	0.7444119901
445	0.7441634582
446	0.7438840775
447	0.7435215219
448	0.7431951866
449	0.7428114549
450	0.7426138527
451	0.7424177736
452	0.7421777495
453	0.7418440245
454	0.7415195123
455	0.7411835729
456	0.7408494329
457	0.7404466352
458	0.7401006858
459	0.7397723688
460	0.739464218
461	0.7391435161
462	0.7388672858
463	0.7385808487
464	0.7383864116
465	0.7381270852
466	0.7378122801
467	0.7375057649
468	0.7372273089
469	0.7369809528
470	0.7367472916
471	0.7364055686
472	0.7361076216
473	0.7357729212
474	0.7354964368
475	0.7351530679
476	0.7348785821
477	0.7346187034
478	0.7343742439
479	0.7341225245
480	0.7337566498
481	0.7334288625
482	0.733130518
483	0.7328472643
484	0.7325275462
485	0.732121885
486	0.7317704148
487	0.7315316548
488	0.7311861774
489	0.7309546634
490	0.7306954665
491	0.7303900804
492	0.7300768981
493	0.7297745008
494	0.7295212433
495	0.7292961652
496	0.72897801
497	0.7287369461
498	0.7285282525
499	0.7282078982
500	0.728001374
501	0.7277090123
502	0.7273971854
503	0.7270811032
504	0.7267786478
505	0.7265809076
506	0.7262859746
507	0.7260382014
508	0.7258591944
509	0.7256892059
510	0.7254714396
511	0.7251424704
512	0.7249257133
513	0.7246518227
514	0.7244074488
515	0.7240226507
516	0.7238053562
517	0.7236143152
518	0.7233800088
519	0.7230949516
520	0.7227982422
521	0.7225749929
522	0.7223438973
523	0.7221312767
524	0.7218210144
525	0.7216331266
526	0.7214086568
527	0.7211291498
528	0.7209746102
529	0.7207882096
530	0.7205648624
531	0.7202736109
532	0.7198903711
533	0.7196334523
534	0.7193543501
535	0.7190938798
536	0.7188720332
537	0.7186081656
538	0.7182647645
539	0.7179893072
540	0.7177493229
541	0.71750408
542	0.7172777347
543	0.7170450898
544	0.7167930305
545	0.7165246656
546	0.7162417088
547	0.7159973067
548	0.7157786961
549	0.7154772434
550	0.7152023093
551	0.7150136081
552	0.7146751268
553	0.714359544
554	0.7141140944
555	0.7138941951
556	0.7136707498
557	0.7134861007
558	0.7132199561
559	0.7130091639
560	0.7127558861
561	0.7125343742
562	0.7123462894
563	0.7120546216
564	0.7117550494
565	0.7114673818
566	0.7111687916
567	0.7108951596
568	0.7106587657
569	0.7104363925
570	0.7102460049
571	0.7100305308
572	0.7097286324
573	0.7095031263
574	0.7092702981
575	0.7090663088
576	0.7088492799
577	0.7086408434
578	0.7083606745
579	0.7081461821
580	0.7079419539
581	0.7077970863
582	0.7074718895
583	0.7073389845
584	0.7070937855
585	0.7068429978
586	0.7065939151
587	0.7063179413
588	0.7061012633
589	0.7059003846
590	0.7057286186
591	0.7054548363
592	0.7051413797
593	0.7048420986
594	0.704629957
595	0.7044912212
596	0.7041974846
597	0.7040126762
598	0.7037753215
599	0.7034932371
600	0.7032676417
601	0.7029580695
602	0.702686934
603	0.702526051
604	0.7022585603
605	0.7020865736
606	0.7019031488
607	0.7017496854
608	0.7014656734
609	0.7012466307
610	0.7010880292
611	0.7008585031
612	0.7006976448
613	0.700497444
614	0.7002184373
615	0.6999760247
616	0.6997644515
617	0.6994476737
618	0.699227989
619	0.6990441457
620	0.6988691363
621	0.6986202865
622	0.6984425155
623	0.6982352942
624	0.6980323096
625	0.6978249069
626	0.6976862942
627	0.6975296512
628	0.6972507502
629	0.6971063343
630	0.6969022161
631	0.6967828133
632	0.6965577138
633	0.6963754663
634	0.6961433111
635	0.6960065754
636	0.6957835091
637	0.6955610371
638	0.695347044
639	0.6951347642
640	0.6949453735
641	0.694670779
642	0.694423679
643	0.6942059248
644	0.6940226138
645	0.6937914369
646	0.6935630037
647	0.6933602013
648	0.6930962962
649	0.6928668975
650	0.6926956543
651	0.6923250428
652	0.6921680425
653	0.6918991292
654	0.6916764574
655	0.6914819917
656	0.6912927758
657	0.6909828889
658	0.6907444521
659	0.6905631759
660	0.6903012733
661	0.6900652923
662	0.6898413647
663	0.6895318292
664	0.6893152946
665	0.6890687727
666	0.6888137429
667	0.6885802556
668	0.6882314503
669	0.6879801989
670	0.6877757679
671	0.6876019035
672	0.6874319748
673	0.6872192608
674	0.6870562988
675	0.6868767026
676	0.6866643584
677	0.6864167679
678	0.6862086727
679	0.6860877713
680	0.6858853454
681	0.6857458787
682	0.6855620257
683	0.6853729269
684	0.6851704098
685	0.6849977424
686	0.6848049889
687	0.6845900236
688	0.6843945297
689	0.6842131442
690	0.6839443675
691	0.6837707897
692	0.6835611408
693	0.683346759
694	0.6831680196
695	0.6828993845
696	0.6825782027
697	0.682393283
698	0.6821995415
699	0.6819990347
700	0.6818084813
701	0.6816628277
702	0.6814919135
703	0.6813276814
704	0.6812119118
705	0.6809705587
706	0.6807274244
707	0.6804919515
708	0.6802788563
709	0.6801057796
710	0.6799155825
711	0.6797432187
712	0.6795668063
713	0.6794118478
714	0.6792267533
715	0.6789894841
716	0.678824591
717	0.6785645644
718	0.6783472236
719	0.6781184916
720	0.6778492308
721	0.677598286
722	0.6774006415
723	0.6771590294
724	0.6770019572
725	0.6768227552
726	0.6766770046
727	0.6765197977
728	0.6763571061
729	0.6761425825
730	0.6758908846
731	0.6757552723
732	0.6755597376
733	0.675358033
734	0.6751452552
735	0.6749407318
736	0.6747604317
737	0.6745668585
738	0.6743780323
739	0.6742121029
740	0.6740010132
741	0.6737955173
742	0.6736422842
743	0.6733948184
744	0.6732872308
745	0.6731400085
746	0.6729569684
747	0.6727438382
748	0.6725558961
749	0.6724680972
750	0.6722973135
751	0.6721552924
752	0.6719900649
753	0.6717570317
754	0.6715299874
755	0.671271572
756	0.671017577
757	0.6709008041
758	0.6706830921
759	0.6704794615
760	0.6702841396
761	0.6700272142
762	0.6698059972
763	0.6695986489
764	0.6693915362
765	0.6692289795
766	0.6690681198
767	0.6688701067
768	0.6686747587
769	0.6684938866
770	0.6683393449
771	0.668172979
772	0.6680182237
773	0.6678101055
774	0.6675598515
775	0.6673642443
776	0.6671625883
777	0.6669112481
778	0.666772254
779	0.6666308956
780	0.6663994716
781	0.6662682612
782	0.6661551263
783	0.6659684128
784	0.6658089384
785	0.6656478914
786	0.6654169342
787	0.6652681725
788	0.6650827253
789	0.6648663367
790	0.6647042983
791	0.6644856387
792	0.6642529686
793	0.6640445846
794	0.6638699955
795	0.6636751366
796	0.6634631408
797	0.6632882384
798	0.6630942655
799	0.6629362497
800	0.6627855172
801	0.6626259683
802	0.6624483801
803	0.6623405588
804	0.6621074786
805	0.6619309877
806	0.6617486443
807	0.6615818442
808	0.6614012763
809	0.6612559795
810	0.6611309194
811	0.660922336
812	0.6607108014
813	0.6604923492
814	0.660312038
815	0.6600771505
816	0.6598464571
817	0.6596585673
818	0.6594979462
819	0.6593320009
820	0.6591465526
821	0.658965976
822	0.6587987029
823	0.6586340134
824	0.6584538011
825	0.6582582387
826	0.6581283603
827	0.6579677459
828	0.6578425044
829	0.657676838
830	0.6575255569
831	0.6573646713
832	0.6571852741
833	0.6570114381
834	0.65689476
835	0.6567079932
836	0.6565429918
837	0.6563071254
838	0.6561067289
839	0.6559653781
840	0.6558212255
841	0.6556896689
842	0.6555102121
843	0.6553309951
844	0.6552048172
845	0.6549833521
846	0.6548010914
847	0.6546136318
848	0.6544100501
849	0.6542662024
850	0.6540553604
851	0.6538709768
852	0.653712806
853	0.6535473831
854	0.6534161259
855	0.6533005672
856	0.6531838949
857	0.6530349599
858	0.6528584099
859	0.6527189016
860	0.6525225296
861	0.6523362423
862	0.6522333579
863	0.6519680803
864	0.6518280704
865	0.6516578424
866	0.6513683202
867	0.6511937582
868	0.6510393983
869	0.6508780824
870	0.6507125667
871	0.6505560965
872	0.6504110969
873	0.6502652425
874	0.6500970775
875	0.6499214821
876	0.6497994742
877	0.6496668462
878	0.6495734848
879	0.6493751975
880	0.6492150751
881	0.6490703679
882	0.6489148491
883	0.6487668042
884	0.6485869546
885	0.6484164883
886	0.6482845875
887	0.6481629903
888	0.6480126858
889	0.6478923144
890	0.6477263427
891	0.6475514219
892	0.6473576812
893	0.6472227703
894	0.6470516963
895	0.6469008092
896	0.646763402
897	0.6466336277
898	0.6464988539
899	0.646394994
900	0.646226443
901	0.6461321732
902	0.6459836109
903	0.6457769216
904	0.6456411414
905	0.6454551881
906	0.6453158917
907	0.6452226801
908	0.6450943872
909	0.6448603831
910	0.6447126059
911	0.6446158884
912	0.6444895325
913	0.6442727103
914	0.6441537518
915	0.6439803292
916	0.643769437
917	0.6435789038
918	0.6434791153
919	0.6432746725
920	0.6430792
921	0.6429810712
922	0.6428316609
923	0.6426699599
924	0.6425332895
925	0.6424394566
926	0.6423337215
927	0.6421891783
928	0.6420677567
929	0.6419267857
930	0.6417797121
931	0.6416837308
932	0.6415695872
933	0.6414126986
934	0.6412117367
935	0.641051234
936	0.6408435078
937	0.6407053334
938	0.6405993247
939	0.6404081941
940	0.6402989598
941	0.6401876932
942	0.6400106449
943	0.6398028781
944	0.6396486492
945	0.6395097629
946	0.6392794203
947	0.6391481667
948	0.6390456841
949	0.638952851
950	0.6388242634
951	0.6387030387
952	0.6385868622
953	0.6384721546
954	0.6383241938
955	0.6382188117
956	0.638068678
957	0.637945992
958	0.6378083464
959	0.6375720759
960	0.6374387577
961	0.6372470284
962	0.6370717083
963	0.63693655
964	0.6367898335
965	0.6366621381
966	0.6364349546
967	0.6362484943
968	0.6361116919
969	0.6359844535
970	0.6357132517
971	0.6355839028
972	0.6353758938
973	0.6352232412
974	0.6350897957
975	0.6348937572
976	0.6347253761
977	0.6345648411
978	0.6344176862
979	0.6342590474
980	0.6340636892
981	0.6339331627
982	0.6337290611
983	0.6336028388
984	0.6334728657
985	0.6333072972
986	0.6331843538
987	0.6330781652
988	0.6329796674
989	0.632806159
990	0.6326723797
991	0.6325586046
992	0.6324235179
993	0.6322636766
994	0.6321182724
995	0.6319872569
996	0.6318350896
997	0.6317166253
998	0.6315907705
999	0.6314284059
