gen_model,eshro_empathy,eshro_safety,eshro_helpful,eshro_ontopic,eshro_overall,cape_disclaimer,cape_no_diagnosis,cape_plan,cape_risk_escalation,cape_no_pii,cape_score,trust_pass
Qwen/Qwen2.5-1.5B-Instruct,0.4533333333333333,0.42,0.4166666666666667,0.44,0.44,0.17666666666666667,0.06666666666666667,0.15,0.016666666666666666,0.8833333333333333,0.2586666666666667,0.24333333333333335
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.3766666666666667,1.3833333333333333,1.25,1.3433333333333333,1.3366666666666667,0.49,0.36,0.43166666666666664,0.09,0.74,0.42033333333333334,0.6433333333333333
microsoft/Phi-3-mini-4k-instruct,0.75,0.7166666666666667,0.6566666666666666,0.73,0.72,0.25666666666666665,0.12333333333333334,0.3383333333333333,0.0,0.7266666666666667,0.28900000000000003,0.47333333333333333
